Timestamp(s),Event Type,Details,Exchange Count,Info Discovered
0.00,CONVERSATION_START,"Feedback: Gesture",0,0
10.11,USER_MESSAGE,"Alex how are you what is your major",0,0
10.62,FEEDBACK_GESTURE,"Thinking animation triggered",0,0
13.08,AI_RESPONSE_FULL,"Received full JSON response",1,0
13.08,FEEDBACK_STOPPED,"Duration: 2.46s",1,0
14.48,AVATAR_TALKING,"Avatar started speaking",1,0
21.50,AVATAR_IDLE,"Avatar finished speaking",1,0
41.34,USER_MESSAGE,"to uh learn computer science and artificial intelligence",1,0
41.85,FEEDBACK_GESTURE,"Thinking animation triggered",1,0
43.31,AI_RESPONSE_FULL,"Received full JSON response",2,0
43.31,FEEDBACK_STOPPED,"Duration: 1.47s",2,0
43.83,AVATAR_TALKING,"Avatar started speaking",2,0
43.83,AVATAR_TALKING,"Avatar started speaking",2,0
50.68,AVATAR_IDLE,"Avatar finished speaking",2,0
50.68,AVATAR_IDLE,"Avatar finished speaking",2,0
59.86,USER_MESSAGE,"yes I'm very excited uh can you tell me your favorite hub",2,0
60.36,FEEDBACK_GESTURE,"Thinking animation triggered",2,0
61.03,AI_RESPONSE_FULL,"Received full JSON response",3,0
61.03,FEEDBACK_STOPPED,"Duration: 0.66s",3,0
61.77,AVATAR_TALKING,"Avatar started speaking",3,0
61.77,AVATAR_TALKING,"Avatar started speaking",3,0
61.77,AVATAR_TALKING,"Avatar started speaking",3,0
70.55,AVATAR_IDLE,"Avatar finished speaking",3,0
70.55,AVATAR_IDLE,"Avatar finished speaking",3,0
70.55,AVATAR_IDLE,"Avatar finished speaking",3,0
80.48,USER_MESSAGE,"I love photography",3,0
80.99,FEEDBACK_GESTURE,"Thinking animation triggered",3,0
81.81,AI_RESPONSE_FULL,"Received full JSON response",4,0
81.81,FEEDBACK_STOPPED,"Duration: 0.83s",4,0
82.49,AVATAR_TALKING,"Avatar started speaking",4,0
82.49,AVATAR_TALKING,"Avatar started speaking",4,0
82.49,AVATAR_TALKING,"Avatar started speaking",4,0
82.49,AVATAR_TALKING,"Avatar started speaking",4,0
91.51,AVATAR_IDLE,"Avatar finished speaking",4,0
91.51,AVATAR_IDLE,"Avatar finished speaking",4,0
91.51,AVATAR_IDLE,"Avatar finished speaking",4,0
91.51,AVATAR_IDLE,"Avatar finished speaking",4,0
102.70,USER_MESSAGE,"I've got my camera with me",4,0
103.21,FEEDBACK_GESTURE,"Thinking animation triggered",4,0
103.89,AI_RESPONSE_FULL,"Received full JSON response",5,0
103.89,FEEDBACK_STOPPED,"Duration: 0.69s",5,0
104.58,AVATAR_TALKING,"Avatar started speaking",5,0
104.58,AVATAR_TALKING,"Avatar started speaking",5,0
104.58,AVATAR_TALKING,"Avatar started speaking",5,0
104.58,AVATAR_TALKING,"Avatar started speaking",5,0
104.58,AVATAR_TALKING,"Avatar started speaking",5,0
111.84,AVATAR_IDLE,"Avatar finished speaking",5,0
111.84,AVATAR_IDLE,"Avatar finished speaking",5,0
111.84,AVATAR_IDLE,"Avatar finished speaking",5,0
111.84,AVATAR_IDLE,"Avatar finished speaking",5,0
111.84,AVATAR_IDLE,"Avatar finished speaking",5,0
117.49,USER_MESSAGE,"in the Dom in which Dom do you live in",5,0
117.99,FEEDBACK_GESTURE,"Thinking animation triggered",5,0
