Timestamp(s),Event Type,Details,Exchange Count,Info Discovered
0.00,CONVERSATION_START,"Feedback: Gesture",0,0
4.08,AI_RESPONSE_FULL,"Received full JSON response",1,0
4.08,AVATAR_TALKING,"Avatar started speaking",1,0
5.09,AVATAR_TALKING,"Avatar started speaking",1,0
12.00,AVATAR_IDLE,"Avatar finished speaking",1,0
62.05,FEEDBACK_GESTURE,"Thinking animation triggered",1,0
64.18,USER_MESSAGE,"Alex what is your music taste can you tell me about it also do you have any siblings",1,0
66.26,AI_RESPONSE_FULL,"Received full JSON response",2,0
66.26,FEEDBACK_STOPPED,"Duration: 4.21s",2,0
67.05,AVATAR_TALKING,"Avatar started speaking",2,0
67.05,AVATAR_TALKING,"Avatar started speaking",2,0
77.46,AVATAR_IDLE,"Avatar finished speaking",2,0
77.46,AVATAR_IDLE,"Avatar finished speaking",2,0
123.17,FEEDBACK_GESTURE,"Thinking animation triggered",2,0
125.82,USER_MESSAGE,"good to know I also have a sister her name is Anushka can you tell me what games do you play Alex in your free time",2,0
127.35,AI_RESPONSE_FULL,"Received full JSON response",3,0
127.35,FEEDBACK_STOPPED,"Duration: 4.18s",3,0
128.33,AVATAR_TALKING,"Avatar started speaking",3,0
128.33,AVATAR_TALKING,"Avatar started speaking",3,0
128.33,AVATAR_TALKING,"Avatar started speaking",3,0
137.25,AVATAR_IDLE,"Avatar finished speaking",3,0
137.25,AVATAR_IDLE,"Avatar finished speaking",3,0
137.25,AVATAR_IDLE,"Avatar finished speaking",3,0
151.12,FEEDBACK_GESTURE,"Thinking animation triggered",3,0
155.90,USER_MESSAGE,"I play games like Tetris I really like Tetris",3,0
157.40,AI_RESPONSE_FULL,"Received full JSON response",4,0
157.40,FEEDBACK_STOPPED,"Duration: 6.28s",4,0
157.95,AVATAR_TALKING,"Avatar started speaking",4,0
157.95,AVATAR_TALKING,"Avatar started speaking",4,0
157.95,AVATAR_TALKING,"Avatar started speaking",4,0
157.95,AVATAR_TALKING,"Avatar started speaking",4,0
163.96,AVATAR_IDLE,"Avatar finished speaking",4,0
163.96,AVATAR_IDLE,"Avatar finished speaking",4,0
163.96,AVATAR_IDLE,"Avatar finished speaking",4,0
163.96,AVATAR_IDLE,"Avatar finished speaking",4,0
169.92,FEEDBACK_GESTURE,"Thinking animation triggered",4,0
171.69,USER_MESSAGE,"ISD computer science and artificial intelligence Alex what about you",4,0
173.06,AI_RESPONSE_FULL,"Received full JSON response",5,0
173.06,FEEDBACK_STOPPED,"Duration: 3.14s",5,0
174.11,AVATAR_TALKING,"Avatar started speaking",5,0
174.11,AVATAR_TALKING,"Avatar started speaking",5,0
174.11,AVATAR_TALKING,"Avatar started speaking",5,0
174.11,AVATAR_TALKING,"Avatar started speaking",5,0
174.11,AVATAR_TALKING,"Avatar started speaking",5,0
182.27,AVATAR_IDLE,"Avatar finished speaking",5,0
182.27,AVATAR_IDLE,"Avatar finished speaking",5,0
182.27,AVATAR_IDLE,"Avatar finished speaking",5,0
182.27,AVATAR_IDLE,"Avatar finished speaking",5,0
182.27,AVATAR_IDLE,"Avatar finished speaking",5,0
190.68,FEEDBACK_GESTURE,"Thinking animation triggered",5,0
192.45,USER_MESSAGE,"black side is a new College that's why I chose it it's very modern",5,0
198.16,AI_RESPONSE_FULL,"Received full JSON response",6,0
198.16,FEEDBACK_STOPPED,"Duration: 7.48s",6,0
198.75,AVATAR_TALKING,"Avatar started speaking",6,0
198.75,AVATAR_TALKING,"Avatar started speaking",6,0
198.75,AVATAR_TALKING,"Avatar started speaking",6,0
198.75,AVATAR_TALKING,"Avatar started speaking",6,0
198.75,AVATAR_TALKING,"Avatar started speaking",6,0
198.75,AVATAR_TALKING,"Avatar started speaking",6,0
208.91,AVATAR_IDLE,"Avatar finished speaking",6,0
208.91,AVATAR_IDLE,"Avatar finished speaking",6,0
208.91,AVATAR_IDLE,"Avatar finished speaking",6,0
208.91,AVATAR_IDLE,"Avatar finished speaking",6,0
208.91,AVATAR_IDLE,"Avatar finished speaking",6,0
208.91,AVATAR_IDLE,"Avatar finished speaking",6,0
0.00,CONVERSATION_END,"Reason: Objectives Met / AI Requested End | Duration: 3.50m",6,0

=== SUMMARY ===
Duration (minutes),0.00
Total Exchanges,6
Info Discovered,0/4
Feedback Enabled,True
Feedback Types,Gesture
Feedback Delay,0.3s
